Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,GeoLocation
FL,Florida,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"2,560",30.2,28.9,31.4,"1,732",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,"2,805",31.2,29.9,32.4,"1,733",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Education,What is the highest grade or year of school you completed?,College+,"3,607",24.1,23.1,25,"1,734",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,No work< yr,204,3.4,2.8,4,"1,814",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,No work >yr,278,3.5,3,4,"1,813",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,Student,248,5.5,4.7,6.3,"1,816",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,Retired,"3,760",22.3,21.4,23.2,"1,817",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,Unable to work,693,7.9,7.1,8.7,"1,818",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,Employed,"3,014",40.5,39.2,41.9,"1,811",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,Homemaker,594,6.1,5.5,6.7,"1,815",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Employment,What is your employment status?,Self-employed,861,10.8,9.9,11.8,"1,812",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Income,What is your annual household income?,"Less than $15,000",969,13.7,12.6,14.8,"1,993",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Income,What is your annual household income?,"$15,000 - 24,999","1,586",20.3,19.1,21.6,"1,994",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",993,11.4,10.5,12.3,"1,995",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Income,What is your annual household income?,"$35,000 -  49,999","1,200",14.5,13.5,15.6,"1,996",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Income,What is your annual household income?,"$50,000+","3,481",40.1,38.7,41.5,"1,997",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,"7,544",81.9,80.8,83,"2,178",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Internet,Have you used the internet in the past 30 days?,No,"1,930",18.1,17,19.2,"2,179",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Marital Status,What is your marital status?,Married,"4,766",49.4,48,50.8,"1,457",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Marital Status,What is your marital status?,Divorced,"1,490",12.5,11.7,13.4,"1,458",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Marital Status,What is your marital status?,Widowed,"1,647",8.2,7.6,8.7,"1,459",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Marital Status,What is your marital status?,Separated,225,3.1,2.5,3.6,"1,460",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Marital Status,What is your marital status?,Never married,"1,327",22.4,21.1,23.7,"1,461",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Marital Status,What is your marital status?,Partnered,249,4.5,3.8,5.1,"1,462",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,33,0.6,0.4,0.9,"1,600",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,88,1.5,1.2,1.9,"1,599",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,312,5.4,4.6,6.1,"1,598",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,711,11.5,10.6,12.5,"1,597",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,995,15.6,14.5,16.7,"1,596",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"7,600",65.4,64,66.8,"1,595",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Race,What is your race/ethnicity?,White,"7,057",58.6,57.1,60,"1,254",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Race,What is your race/ethnicity?,Black,882,14,12.9,15.1,"1,255",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Race,What is your race/ethnicity?,MultiRacial,146,1.1,0.9,1.4,"1,258",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Race,What is your race/ethnicity?,Hispanic,"1,229",23,21.7,24.4,"1,256",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Rent/Own Home,Do you own or rent your home?,Own,"6,864",68.7,67.4,70,"2,224",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Rent/Own Home,Do you own or rent your home?,Rent,"2,165",26.7,25.5,27.9,"2,225",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Rent/Own Home,Do you own or rent your home?,Other,363,4.6,4,5.2,"2,226",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,Yes,"1,657",14.2,13.3,15,"2,132",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,No,"8,136",85.8,85,86.7,"2,133",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,"1,229",17.6,16.5,18.8,321,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"8,563",82.4,81.2,83.5,322,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,"8,761",82.4,81.2,83.6,162,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"1,012",17.6,16.4,18.8,163,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"7,706",73,71.7,74.2,367,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,885,11.4,10.4,12.3,368,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,542,7.2,6.4,7.9,369,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,564,8,7.2,8.8,370,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,36,0.5,0.3,0.8,371,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","7,282",65.3,64,66.7,252,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,"1,014",10.5,9.7,11.3,253,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,"1,459",24.2,22.9,25.5,254,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"4,475",77.2,75.7,78.8,208,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,933,22.8,21.2,24.3,209,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"7,847",80.7,79.6,81.8,116,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"1,902",19.3,18.2,20.4,117,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Overall Health,How is your general health?,Excellent,"1,914",20.7,19.5,21.8,1,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Overall Health,How is your general health?,Very good,"3,014",28.8,27.6,30.1,2,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Overall Health,How is your general health?,Good,"2,919",31.2,29.9,32.5,3,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Overall Health,How is your general health?,Fair,"1,364",14.2,13.2,15.2,4,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Health Status,Overall Health,How is your general health?,Poor,538,5.1,4.5,5.7,5,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,Yes,"2,923",43.1,41.6,44.5,"3,661",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,No,"5,723",56.9,55.5,58.4,"3,662",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"2,219",53.1,51,55.1,"3,051",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"1,729",46.9,44.9,49,"3,052",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"2,697",66.9,64.8,69,"3,089",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,"1,107",33.1,31,35.2,"3,090",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,Yes,"1,687",20.5,19.3,21.6,"3,127",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,No,"4,798",79.6,78.4,80.7,"3,128",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,113,3.2,2.4,3.9,"3,213",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"4,856",96.8,96.1,97.6,"3,214",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"8,225",87.3,86.2,88.4,"3,167",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,836,12.7,11.6,13.8,"3,168",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,479,13.2,11.7,14.6,"1,170",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"3,555",86.9,85.4,88.3,"1,171",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"6,475",61.9,60.6,63.3,"1,208",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"3,272",38.1,36.7,39.4,"1,209",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"5,381",50.5,49.1,51.8,"1,124",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"4,157",49.6,48.2,50.9,"1,125",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"2,303",26.2,25,27.5,"2,618",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"3,350",36,34.6,37.3,"2,617",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"3,308",35.7,34.4,37.1,"2,616",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),195,2.1,1.6,2.5,"2,615",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"7,393",76.3,75.1,77.5,482,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"2,403",23.7,22.5,24.9,483,%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,607",49.7,47.2,52.1,"3,461",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"1,195",50.3,47.9,52.8,"3,462",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,271",17.7,16.5,18.8,"2,707",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"7,936",82.4,81.2,83.5,"2,708",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Every day,75,1.3,0.9,1.6,"2,845",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Some days,78,1.5,1,1.9,"2,846",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smokeless Tobacco,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"9,055",97.3,96.7,97.8,"2,847",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,884,11.6,10.6,12.5,"2,753",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,387,6.1,5.3,6.8,"2,754",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"3,172",27.8,26.6,29,"2,755",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"4,764",54.6,53.1,56,"2,756",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"2,168",78.5,76.5,80.5,"3,337",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Mammogram,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,559,21.5,19.5,23.6,"3,338",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,991",76.8,75.1,78.5,"3,299",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,932,23.2,21.5,24.9,"3,300",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,359",74.6,72.8,76.3,"3,259",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,105",25.4,23.7,27.2,"3,260",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"2,570",73.1,71.1,75.1,"3,375",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Pap Test,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,"1,039",26.9,24.9,28.9,"3,376",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,856",79.5,77.3,81.6,"3,419",%,"(28.932040377000476, -81.92896053899966)"
FL,Florida,Women's Health,Pap Test,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,448,20.5,18.4,22.7,"3,420",%,"(28.932040377000476, -81.92896053899966)"
GA,Georgia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"2,589",48.1,46.4,49.9,"2,909",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,"3,315",51.9,50.1,53.6,"2,910",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,555,14.2,12.8,15.6,"2,955",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"5,299",85.8,84.4,87.2,"2,956",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,267,5.3,4.4,6.1,"3,001",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"5,573",94.7,93.9,95.6,"3,002",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"2,313",25.2,23.9,26.5,893,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"4,015",74.8,73.5,76.1,894,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,556,8.3,7.4,9.2,709,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"5,752",91.7,90.8,92.6,710,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,829,13.8,12.6,15,663,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"5,501",86.2,85,87.4,664,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,403,4.1,3.6,4.7,572,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,"5,895",95.9,95.3,96.4,573,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,382,4.5,3.9,5.1,527,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,"5,948",95.5,94.9,96.1,528,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,287,3.3,2.8,3.8,618,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,"6,045",96.7,96.2,97.2,619,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,592,7.4,6.5,8.3,847,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,COPD,Ever told you have COPD?,No,"5,732",92.6,91.8,93.5,848,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,"1,243",18.3,17,19.7,939,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,"5,079",81.7,80.4,83,940,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,"1,048",11.6,10.6,12.5,"1,031",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",94,1.4,1,1.8,"1,032",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",110,1.3,1,1.6,"1,034",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"5,087",85.8,84.7,86.8,"1,033",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,279,3,2.5,3.5,985,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,"6,046",97,96.5,97.5,986,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,597,5.9,5.2,6.5,801,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,"5,742",94.2,93.5,94.8,802,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,674,6.4,5.7,7,755,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,"5,667",93.6,93,94.3,756,%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,646,16.1,14.6,17.5,"3,497",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"3,099",83.9,82.5,85.4,"3,498",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,329,10.3,8.9,11.6,"3,537",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"2,720",89.7,88.4,91.1,"3,538",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"2,803",69.8,67.8,71.8,"3,577",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,022",30.2,28.2,32.2,"3,578",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"2,112",66.4,64.2,68.7,"3,617",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,893,33.6,31.3,35.8,"3,618",%,"(32.83968109300048, -83.62758034599966)"
GA,Georgia,Demographics,Age,What is your age?,18-24 years,330,13.6,12.2,15.1,"1,347",%,"(32.83968109300048, -83.62758034599966)"
